model,hypernym,backbone_acc,shuffle_type,category,avg_cosine
Qwen3-1.7B,headwear,0.9058823529411765,local_shuffled,headwear,0.2764828
Qwen3-1.7B,home appliance,0.9435736677115988,original,home appliance,0.30774447
Qwen3-1.7B,home appliance,0.9435736677115988,shuffled,home appliance,0.106384344
Qwen3-1.7B,home appliance,0.9435736677115988,local_shuffled,home appliance,0.30704167
Qwen3-1.7B,home decor,0.9377777777777778,original,home decor item,0.14416753
Qwen3-1.7B,home decor,0.9377777777777778,shuffled,home decor item,0.11172592
Qwen3-1.7B,home decor,0.9377777777777778,local_shuffled,home decor item,0.1351337
Qwen3-1.7B,insect,0.9873417721518988,original,insect,0.32845968
Qwen3-1.7B,insect,0.9873417721518988,shuffled,insect,0.10351064
Qwen3-1.7B,insect,0.9873417721518988,local_shuffled,insect,0.32845968
Qwen3-1.7B,jewelry,0.9298245614035088,original,piece of jewelry,0.28458902
Qwen3-1.7B,jewelry,0.9298245614035088,shuffled,piece of jewelry,0.15947928
Qwen3-1.7B,jewelry,0.9298245614035088,local_shuffled,piece of jewelry,0.27453682
Qwen3-1.7B,kitchen appliance,0.943502824858757,original,kitchen appliance,0.43856624
Qwen3-1.7B,kitchen appliance,0.943502824858757,shuffled,kitchen appliance,0.122544065
Qwen3-1.7B,kitchen appliance,0.943502824858757,local_shuffled,kitchen appliance,0.43856627
Qwen3-1.7B,kitchen tool,0.9245283018867925,original,kitchen tool,0.34031436
Qwen3-1.7B,kitchen tool,0.9245283018867925,shuffled,kitchen tool,0.111792654
Qwen3-1.7B,kitchen tool,0.9245283018867925,local_shuffled,kitchen tool,0.33386517
Qwen3-1.7B,lighting,0.9159663865546218,original,source of light,0.16713984
Qwen3-1.7B,lighting,0.9159663865546218,shuffled,source of light,0.1242739
Qwen3-1.7B,lighting,0.9159663865546218,local_shuffled,source of light,0.16713983
Qwen3-1.7B,mammal,0.9946808510638298,original,mammal,0.32052997
Qwen3-1.7B,mammal,0.9946808510638298,shuffled,mammal,0.08719046
Qwen3-1.7B,mammal,0.9946808510638298,local_shuffled,mammal,0.31319627
Qwen3-1.7B,medical equipment,0.9402173913043478,original,medical equipment,0.22743645
Qwen3-1.7B,medical equipment,0.9402173913043478,shuffled,medical equipment,0.10557048
Qwen3-1.7B,medical equipment,0.9402173913043478,local_shuffled,medical equipment,0.2151756
Qwen3-1.7B,musical instrument,0.9602649006622517,original,musical instrument,0.24447973
Qwen3-1.7B,musical instrument,0.9602649006622517,shuffled,musical instrument,0.10559211
Qwen3-1.7B,musical instrument,0.9602649006622517,local_shuffled,musical instrument,0.24447973
Qwen3-1.7B,office supply,0.9127906976744186,original,office supply item,0.34146813
Qwen3-1.7B,office supply,0.9127906976744186,shuffled,office supply item,0.118907295
Qwen3-1.7B,office supply,0.9127906976744186,local_shuffled,office supply item,0.32966414
Qwen3-1.7B,outerwear,0.8988095238095238,original,outerwear,0.3125613
Qwen3-1.7B,outerwear,0.8988095238095238,shuffled,outerwear,0.13353439
Qwen3-1.7B,outerwear,0.8988095238095238,local_shuffled,outerwear,0.30241963
Qwen3-1.7B,part of car,0.9242424242424242,original,car part,0.2520023
Qwen3-1.7B,part of car,0.9242424242424242,shuffled,car part,0.13158026
Qwen3-1.7B,part of car,0.9242424242424242,local_shuffled,car part,0.2376549
Qwen3-1.7B,personal hygiene item,0.8838709677419355,original,personal hygiene item,0.26480228
Qwen3-1.7B,personal hygiene item,0.8838709677419355,shuffled,personal hygiene item,0.09962293
Qwen3-1.7B,personal hygiene item,0.8838709677419355,local_shuffled,personal hygiene item,0.22637792
Qwen3-1.7B,plant,0.9917355371900827,original,plant,0.19261082
Qwen3-1.7B,plant,0.9917355371900827,shuffled,plant,0.10246637
Qwen3-1.7B,plant,0.9917355371900827,local_shuffled,plant,0.18926121
Qwen3-1.7B,protective clothing,0.9184782608695652,original,protective clothing item,0.24609903
Qwen3-1.7B,protective clothing,0.9184782608695652,shuffled,protective clothing item,0.113911875
Qwen3-1.7B,protective clothing,0.9184782608695652,local_shuffled,protective clothing item,0.2604862
Qwen3-1.7B,safety equipment,0.9329268292682927,original,safety equipment,0.18056588
Qwen3-1.7B,safety equipment,0.9329268292682927,shuffled,safety equipment,0.13035716
Qwen3-1.7B,safety equipment,0.9329268292682927,local_shuffled,safety equipment,0.18104146
Qwen3-1.7B,school supply,0.9247311827956989,original,school supply item,0.30356604
Qwen3-1.7B,school supply,0.9247311827956989,shuffled,school supply item,0.13094126
Qwen3-1.7B,school supply,0.9247311827956989,local_shuffled,school supply item,0.30074438
Qwen3-1.7B,scientific equipment,0.9128787878787878,original,scientific equipment,0.26171118
