run_name,overall,total_illegal_ratio,musical,clothing accessory,electronic device,sports equipment,home appliance,game,tool,piece of women's clothing,vehicle,animal,outerwear,piece of jewelry,farm animal,mammal,hardware item,garden tool,body part,dessert,weapon,furniture,school supply,construction equipment,container,toy,medical equipment,breakfast food,vegetable,source of light,scientific equipment,arts and crafts item,food,drink,insect,candy,item of clothing,condiment,fruit,bird,kitchen tool,home decor item,safety equipment,sea animal,watercraft,seafood,office supply item,personal hygiene item,kitchen appliance,footwear,plant,protective clothing item,car part,fastener,headwear
align-dinov2+1b-llama-chat-things+hyp-abl50-7,0.9968425800631484,0.0,1.0,1.0,1.0,0.9927536231884058,1.0,0.9876543209876544,0.9904761904761904,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9669421487603306,1.0,1.0,1.0,1.0,1.0,1.0,0.9863013698630136,1.0,1.0,1.0,1.0,0.9875,1.0,0.9701492537313432,1.0,1.0,0.9886363636363636,1.0,1.0,1.0,1.0,1.0,1.0,0.9830508474576272,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9878048780487804,1.0,1.0,1.0,1.0
align-dinov2+1b-llama-things+hyp-abl30-42,0.9967105263157896,0.0,0.9934640522875816,0.9929078014184396,0.9949494949494948,1.0,0.9791666666666666,0.9929577464788732,0.9953271028037384,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9888888888888888,1.0,0.9814814814814816,1.0,1.0,0.9924242424242424,0.9845559845559846,0.9925373134328358,1.0,1.0,1.0,1.0,0.989247311827957,1.0,1.0,0.9927536231884058,1.0,1.0,1.0,1.0,0.992063492063492,1.0,1.0,0.994186046511628,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.981132075471698,0.9923664122137404,1.0,0.9821428571428572
align-dinov2+500m-things+hyp-abl50-218-random,0.9903022101939558,0.0,1.0,1.0,1.0,0.9855072463768116,0.9848484848484848,0.9876543209876544,0.9904761904761904,0.987012987012987,1.0,1.0,1.0,1.0,0.979591836734694,1.0,0.9338842975206612,1.0,1.0,0.9866666666666668,0.989010989010989,1.0,0.9852941176470588,0.9863013698630136,0.9901477832512317,0.9789473684210528,1.0,1.0,1.0,1.0,0.9701492537313432,0.9876543209876544,0.9929078014184396,0.9772727272727272,1.0,1.0,0.9928057553956836,1.0,1.0,0.9710144927536232,0.9830508474576272,0.9649122807017544,1.0,0.9777777777777776,1.0,1.0,1.0,0.9743589743589745,1.0,0.9767441860465116,1.0,1.0,0.984375,1.0,1.0
align-siglip+1b-llama-chat-things+hyp-abl90-42,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0
align-dinov2+1b-llama-things+hyp-abl30cat-42,0.9965894557339776,0.0,1.0,,0.9971910112359552,,,,,,1.0,1.0,,0.995049504950495,,1.0,0.99009900990099,1.0,,,0.9803921568627452,0.9963898916967509,,,,0.9963636363636365,0.9962121212121212,,,0.9957264957264956,,,,1.0,,,0.9961089494163424,,,,,,,,1.0,1.0,,0.99581589958159,,1.0,0.9966442953020134,0.9844559585492229,0.9955156950672646,,1.0
align-siglip+1b-things+hyp-abl30-218,0.9987816764132552,0.0,1.0,0.9858156028368794,1.0,1.0,0.9930555555555556,1.0,1.0,1.0,1.0,0.9973821989528796,1.0,0.9883720930232558,1.0,1.0,1.0,1.0,0.9777777777777776,1.0,1.0,1.0,1.0,1.0,0.996138996138996,1.0,0.9944444444444444,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9923664122137404,1.0,1.0
align-dinov2+500m-things+hyp-abl30cat-42,0.9961631377007248,0.0,0.996309963099631,,0.9971910112359552,,,,,,0.9951807228915662,0.9987357774968394,,0.99009900990099,,1.0,0.9876237623762376,1.0,,,0.9901960784313726,0.9963898916967509,,,,1.0,0.9886363636363636,,,1.0,,,,0.9961538461538462,,,0.9980544747081712,,,,,,,,0.9912280701754386,1.0,,1.0,,1.0,0.9966442953020134,0.9844559585492229,1.0,,1.0
align-dinosiglip+1b-llama-chat-things+hyp-abl10-7,0.998317270919382,0.0,1.0,0.9907834101382488,0.9933554817275748,0.9971751412429378,1.0,1.0,0.9946236559139784,1.0,0.9971910112359552,1.0,1.0,1.0,1.0,1.0,0.9971509971509972,0.9930555555555556,0.9921259842519684,0.9955555555555556,1.0,1.0,1.0,1.0,0.9923469387755102,1.0,0.990909090909091,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.995575221238938,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9947643979057592,1.0,1.0,0.9961538461538462,0.9870967741935484,1.0,1.0,1.0
align-siglip+500m-things+hyp-abl30-42,0.9979288499025342,0.0,1.0,1.0,1.0,1.0,1.0,0.9929577464788732,0.9953271028037384,1.0,0.9959349593495936,1.0,0.9921259842519684,0.9883720930232558,1.0,1.0,0.990521327014218,1.0,0.9888888888888888,0.9934640522875816,1.0,1.0,0.9925925925925926,0.9848484848484848,0.9922779922779924,1.0,0.9944444444444444,1.0,1.0,1.0,0.989247311827957,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9915966386554622,1.0
align-dinov2+500m-things+hyp-abl90-42-random,0.983739837398374,0.0,1.0,0.75,1.0,1.0,1.0,1.0,,1.0,0.9583333333333334,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.972972972972973,1.0,1.0,,1.0,1.0,0.6666666666666666,1.0,0.96,1.0,,1.0,1.0,0.6666666666666666,1.0,0.9,1.0,1.0,1.0,1.0,,,1.0,0.875,1.0,1.0,1.0,,1.0,1.0,1.0
