run_name,overall,total_illegal_ratio,body part,animal,clothing accessory,electronic device,home appliance,game,furniture,piece of women's clothing,car part,footwear,watercraft,vegetable,outerwear,food,weapon,piece of jewelry,farm animal,plant,garden tool,fruit,source of light,dessert,item of clothing,drink,bird,container,arts and crafts item,kitchen appliance,headwear,school supply,kitchen tool,candy,safety equipment,tool,vehicle,fastener,mammal,hardware item,musical,sports equipment,seafood,insect,office supply item,protective clothing item,medical equipment,home decor item,construction equipment,toy,condiment,personal hygiene item,breakfast food,scientific equipment,sea animal
align-dinov2+1b-llama-chat-things+hyp-abl10cat-shuffled-42,0.988859249960772,0.0,1.0,0.995973154362416,0.982078853046595,0.9917582417582418,0.9746376811594204,0.9953488372093025,,0.9689922480620154,,0.9863636363636364,0.9788135593220338,0.9933110367892976,0.9865470852017936,0.991236611489776,1.0,0.9851485148514852,0.9954128440366972,0.9965753424657534,,0.9795081967213116,0.9872340425531916,,,1.0,0.9926739926739928,,0.9826388888888888,0.9770642201834864,0.9897435897435898,0.9737991266375546,0.9917355371900828,0.9960474308300395,0.9959839357429718,0.9894291754756872,0.9904076738609112,0.985981308411215,0.9934640522875816,0.9927360774818402,0.981203007518797,0.9828009828009828,0.9899497487437184,0.9946524064171124,0.965,0.9855072463768116,0.984251968503937,0.9826989619377162,0.9924812030075189,0.9926739926739928,1.0,,,,
align-dinov2+1b-llama-chat-things+hyp-abl10cat-shuffled-218,0.98697630629217,0.0,1.0,0.9919463087248322,0.996415770609319,0.9807692307692308,0.9818840579710144,0.9813953488372092,,0.9651162790697676,,0.9954545454545456,0.9745762711864406,0.9899665551839464,1.0,0.988315481986368,0.9936102236421726,0.99009900990099,0.981651376146789,0.9863013698630136,,0.9795081967213116,0.9744680851063828,,,0.9962825278810408,0.978021978021978,,0.9791666666666666,0.981651376146789,1.0,0.9563318777292577,0.975206611570248,0.9881422924901184,1.0,0.9873150105708244,0.9904076738609112,0.985981308411215,0.9934640522875816,0.9927360774818402,0.9887218045112782,0.9828009828009828,0.9748743718592964,1.0,0.965,1.0,0.9921259842519684,0.986159169550173,0.9924812030075189,0.9853479853479854,1.0,,,,
align-dinov2+1b-llama-chat-things+hyp-abl30-local-shuffled-218,0.9969482421875,0.0,1.0,1.0,1.0,0.9901960784313726,0.9928057553956836,1.0,0.993006993006993,1.0,0.9848484848484848,1.0,1.0,1.0,1.0,0.9982046678635548,0.9938650306748468,1.0,0.9886363636363636,1.0,1.0,1.0,1.0,0.9935064935064936,1.0,1.0,1.0,0.9961538461538462,0.9937888198757764,1.0,1.0,1.0,1.0,0.9914529914529916,0.984126984126984,0.9952153110047848,1.0,0.9823008849557522,1.0,0.9951923076923076,1.0,0.9917355371900828,1.0,1.0,1.0,1.0,0.9883720930232558,0.994186046511628,1.0,1.0,1.0,1.0,0.9921259842519684,1.0,1.0
align-dinosiglip+500m-things+hyp-abl20cat-shuffled-218,0.9925836841050312,0.0,1.0,0.9946308724832216,0.989247311827957,1.0,0.9963768115942028,0.9906976744186048,0.9825174825174824,0.996124031007752,0.9785407725321889,1.0,0.9915254237288136,0.9933110367892976,0.9955156950672646,0.994157740993184,0.9904153354632588,0.99009900990099,0.9908256880733946,0.9965753424657534,0.9895287958115184,1.0,1.0,0.9891304347826086,0.986328125,0.9962825278810408,0.9926739926739928,0.9956331877729258,0.9791666666666666,1.0,0.9948717948717948,0.982532751091703,0.9917355371900828,0.9920948616600792,0.9919678714859438,,,,,,,,,,,,,,,,,,,,
align-dinosiglip+1b-llama-things+hyp-abl40cat-shuffled-42,0.9894039735099338,0.0,0.99375,,0.989247311827957,0.9945054945054944,,,0.972027972027972,,,,,,0.9955156950672646,0.9951314508276532,0.9904153354632588,,,,,0.9959016393442623,,,,,,,0.9791666666666666,,,,0.975206611570248,,,0.9936575052854124,0.9928057553956836,0.97196261682243,,,,,,,,,,,,,,,,,
align-dinov2+500m-things+hyp-abl20cat-shuffled-7,0.9875726598516736,0.0,0.99375,0.9879194630872484,0.974910394265233,0.9862637362637364,0.9855072463768116,0.9953488372093025,0.9965034965034965,0.9689922480620154,1.0,0.9818181818181818,0.9830508474576272,0.9899665551839464,0.9910313901345292,0.9873417721518988,0.9968051118210862,0.9702970297029704,0.9770642201834864,0.9965753424657534,0.9895287958115184,0.9795081967213116,0.9957446808510638,0.9891304347826086,0.982421875,1.0,0.9853479853479854,0.9868995633187772,0.9930555555555556,1.0,0.9897435897435898,0.9694323144104804,0.9710743801652892,0.9960474308300395,1.0,,,,,,,,,,,,,,,,,,,,
align-dinov2+500m-things+hyp-abl70-shuffled-42,0.9935770750988142,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9743589743589745,1.0,0.9736842105263158,1.0,1.0,1.0,1.0,0.9642857142857144,1.0,0.9591836734693876,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9770114942528736,0.95,1.0,0.971830985915493,1.0,1.0,1.0,1.0,1.0,1.0,0.9423076923076924,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
align-dinov2+1b-llama-things+hyp-abl10-local-shuffled-42,0.9970992366412214,0.0,1.0,1.0,1.0,0.9935275080906149,0.9913793103448276,0.9947916666666666,1.0,0.9953703703703703,0.9951923076923076,1.0,1.0,1.0,0.9896373056994818,0.997624703087886,0.9961977186311788,1.0,1.0,1.0,0.9928057553956836,1.0,1.0,1.0,1.0,0.9905660377358492,1.0,0.9949238578680204,1.0,1.0,1.0,1.0,1.0,0.9953488372093025,0.9895287958115184,0.9946091644204852,1.0,0.9825581395348836,1.0,0.9915966386554622,1.0,0.9971830985915492,1.0,1.0,1.0,1.0,0.9818181818181818,0.9922178988326849,1.0,0.9956140350877192,0.993975903614458,1.0,1.0,0.9951923076923076,1.0
align-dinov2+1b-things+hyp-abl90-shuffled-42,0.9959349593495936,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9722222222222222,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.9523809523809524,1.0,,1.0,1.0,1.0,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0
align-dinosiglip+500m-things+hyp-abl40cat-shuffled-7,0.98962472406181,0.0,0.99375,,0.985663082437276,0.9917582417582418,,,0.9755244755244756,,,,,,1.0,0.9951314508276532,0.9808306709265175,,,,,1.0,,,,,,,0.9861111111111112,,,,0.9917355371900828,,,0.9894291754756872,0.988009592326139,0.9766355140186916,,,,,,,,,,,,,,,,,
align-dinov2+500m-things+hyp-abl30-local-shuffled-42,0.9957275390625,0.0,1.0,1.0,0.9855072463768116,1.0,0.9856115107913668,1.0,1.0,1.0,0.9924242424242424,0.9913793103448276,1.0,1.0,1.0,1.0,0.9938650306748468,1.0,1.0,1.0,1.0,0.992,1.0,0.9935064935064936,1.0,1.0,1.0,0.9846153846153848,0.9875776397515528,1.0,0.9914529914529916,1.0,1.0,1.0,0.984126984126984,0.985645933014354,1.0,0.991150442477876,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9767441860465116,0.9883720930232558,1.0,0.9927536231884058,0.981132075471698,0.9801324503311258,0.9921259842519684,1.0,1.0
align-dinov2+1b-llama-chat-things+hyp-abl50-shuffled-42,0.9942426926483614,0.0,1.0,0.9899497487437184,1.0,1.0,1.0,1.0,0.987012987012987,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9894736842105264,1.0,1.0,1.0,1.0,1.0,0.9791666666666666,1.0,0.9791666666666666,1.0,0.9852941176470588,1.0,0.9879518072289156,0.9761904761904762,1.0,1.0,1.0,0.9863013698630136,1.0,1.0,0.9939024390243902,0.9672131147540984,0.9913793103448276,1.0,0.9902912621359224,0.993006993006993,0.967741935483871,1.0,1.0,1.0,1.0,1.0,0.974025974025974,0.9895833333333334,0.9824561403508772,0.9775280898876404,1.0,1.0,1.0
align-dinosiglip+1b-llama-things+hyp-abl40cat-shuffled-7,0.9854304635761588,0.0,1.0,,0.978494623655914,0.978021978021978,,,0.972027972027972,,,,,,0.9865470852017936,0.9863680623174296,0.9968051118210862,,,,,0.9918032786885246,,,,,,,0.9791666666666666,,,,0.9793388429752066,,,0.9936575052854124,0.988009592326139,0.9766355140186916,,,,,,,,,,,,,,,,,
align-dinov2+1b-things+hyp-abl90-local-shuffled-218,0.9979757085020244,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8571428571428571,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0
align-dinov2+1b-llama-things+hyp-abl20cat-shuffled-7,0.9873722188815394,0.0,1.0,0.9852348993288592,0.985663082437276,0.989010989010989,0.9927536231884058,1.0,0.9895104895104896,0.9883720930232558,1.0,0.9772727272727272,0.9872881355932204,0.9899665551839464,0.9865470852017936,0.988315481986368,0.9936102236421726,0.9702970297029704,0.9954128440366972,0.9965753424657534,0.9895287958115184,0.9795081967213116,0.9957446808510638,0.9855072463768116,0.984375,0.9962825278810408,0.978021978021978,0.9759825327510916,0.96875,0.9954128440366972,1.0,0.9781659388646288,0.987603305785124,0.9920948616600792,0.9799196787148594,,,,,,,,,,,,,,,,,,,,
align-dinosiglip+500m-things+hyp-abl10cat-shuffled-218,0.9937235211046604,0.0,0.9875,0.995973154362416,0.992831541218638,0.9945054945054944,0.9963768115942028,0.9953488372093025,,0.996124031007752,,0.9863636363636364,0.9872881355932204,0.9866220735785952,0.9955156950672646,0.994157740993184,0.9936102236421726,0.995049504950495,1.0,0.9965753424657534,,1.0,0.9957446808510638,,,1.0,0.9926739926739928,,0.9861111111111112,0.9908256880733946,0.9897435897435898,0.982532751091703,0.9958677685950412,1.0,0.9959839357429718,0.9936575052854124,0.9952038369304556,0.9953271028037384,0.9956427015250544,0.9975786924939468,0.9924812030075189,0.9828009828009828,0.9949748743718592,1.0,0.985,0.9951690821256038,0.9921259842519684,0.9930795847750864,0.9887218045112782,1.0,1.0,,,,
align-dinov2+500m-things+hyp-abl70-shuffled-7,0.990612648221344,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.98,1.0,1.0,0.9166666666666666,1.0,1.0,1.0,0.9923076923076924,1.0,0.95,1.0,1.0,1.0,1.0,0.9777777777777776,1.0,1.0,0.9487179487179488,1.0,1.0,0.9591836734693876,1.0,1.0,1.0,1.0,1.0,1.0,0.8888888888888888,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9423076923076924,1.0,0.9767441860465116,0.975,1.0,0.9787234042553192,1.0,0.9666666666666668,1.0
align-dinov2+1b-things+hyp-abl10-local-shuffled-7,0.9965648854961832,0.0,0.9923076923076924,1.0,0.9954337899543378,0.9967637540453076,0.9913793103448276,1.0,1.0,0.9953703703703703,0.9855769230769232,1.0,1.0,1.0,0.9948186528497408,0.996437054631829,0.9961977186311788,0.994186046511628,1.0,1.0,0.9928057553956836,1.0,1.0,1.0,1.0,0.9952830188679244,1.0,0.9974619289340102,1.0,1.0,1.0,1.0,1.0,0.9906976744186048,0.9947643979057592,0.9973045822102424,1.0,0.9883720930232558,1.0,0.9859943977591036,1.0,0.991549295774648,1.0,1.0,1.0,1.0,0.990909090909091,0.9883268482490272,1.0,0.9736842105263158,1.0,1.0,1.0,0.9903846153846154,1.0
align-dinov2+1b-things+hyp-abl50-shuffled-7,0.991142604074402,0.0,0.8888888888888888,0.9899497487437184,1.0,1.0,0.9859154929577464,1.0,0.987012987012987,1.0,1.0,1.0,0.9824561403508772,1.0,1.0,0.9933554817275748,1.0,0.9852941176470588,1.0,0.9873417721518988,1.0,0.953125,1.0,1.0,0.9722222222222222,1.0,0.9705882352941176,0.9903381642512076,1.0,1.0,1.0,0.9848484848484848,0.984126984126984,1.0,0.981132075471698,1.0,0.9939024390243902,0.9836065573770492,1.0,0.984251968503937,0.9902912621359224,0.972027972027972,1.0,1.0,1.0,1.0,1.0,0.9734513274336284,1.0,0.9791666666666666,1.0,1.0,1.0,1.0,1.0
