run_name,overall,total_illegal_ratio,mammal,construction equipment,scientific equipment,furniture,animal,game,outerwear,condiment,electronic device,vehicle,item of clothing,home appliance,home decor item,fruit,food,seafood,body part,drink,tool,school supply,protective clothing item,car part,sports equipment,office supply item,farm animal,footwear,watercraft,container,kitchen appliance,fastener,source of light,musical,plant,vegetable,clothing accessory,piece of jewelry,sea animal,arts and crafts item,headwear,weapon,medical equipment,insect,garden tool,candy,safety equipment,toy,dessert,kitchen tool,breakfast food,personal hygiene item,piece of women's clothing,bird,hardware item
align-dinov2+500m-things+hyp-abl30-218,0.9814359478731252,0.0,1.0,0.9375,0.9612403100775194,0.9883040935672516,1.0,0.981132075471698,0.945945945945946,0.9887640449438202,0.9615384615384616,0.9959514170040484,1.0,0.9802631578947368,0.9613259668508288,0.9779411764705882,0.998175182481752,0.9607843137254902,0.9894736842105264,0.984126984126984,0.9554655870445344,0.9838709677419356,0.9896907216494846,1.0,0.9896373056994818,0.98,1.0,1.0,1.0,0.9806451612903224,0.9893617021276596,0.9779411764705882,0.9903846153846154,1.0,1.0,0.9933333333333332,0.9652777777777778,1.0,0.9831932773109244,0.9383561643835616,1.0,0.9493670886075948,0.9647887323943662,1.0,0.967741935483871,0.9886363636363636,0.9791666666666666,0.9685534591194968,0.9760479041916168,0.9848484848484848,0.9513888888888888,0.9612403100775194,1.0,1.0,0.9583333333333334
align-dinov2+500m-things+hyp-abl10-7,0.9827772628977448,0.0,0.9949109414758268,0.9575471698113208,0.9809523809523808,0.9917695473251028,1.0,1.0,0.9608938547486032,0.9622641509433962,0.9850746268656716,0.9862637362637364,0.9951690821256038,0.9702127659574468,0.96,0.9911111111111112,0.98220640569395,0.9882352941176472,1.0,0.9896907216494846,0.986737400530504,0.9897435897435898,0.9814814814814816,0.9853658536585366,0.9908536585365854,0.9820359281437124,0.9820359281437124,0.9942528735632185,0.9827586206896552,0.986425339366516,0.9829545454545454,0.9655172413793104,0.9834254143646408,1.0,0.9873949579831932,0.9954337899543378,0.961038961038961,0.9940828402366864,0.9863013698630136,0.976851851851852,0.9933774834437086,0.9343065693430656,0.9533678756476685,1.0,0.9813664596273292,0.9794520547945206,0.9818181818181818,0.9907407407407408,0.979253112033195,0.9786096256684492,0.9591836734693876,0.965174129353234,0.9887640449438202,1.0,0.9683544303797468
align-dinov2+500m-things+hyp-abl20cat-42,0.9868569813453928,0.0,1.0,1.0,1.0,0.9947089947089948,1.0,0.99,0.9142857142857144,1.0,0.9923076923076924,0.9864864864864864,0.9947089947089948,0.9825581395348836,0.975,0.9899497487437184,0.9850543478260868,1.0,0.99009900990099,0.9545454545454546,0.984126984126984,0.9902912621359224,1.0,0.9867549668874172,1.0,1.0,0.972972972972973,0.9906542056074766,1.0,0.991549295774648,0.9923076923076924,1.0,0.989247311827957,1.0,0.9946808510638298,0.9949494949494948,0.9588235294117649,0.98,0.9878048780487804,0.9558823529411764,0.9915254237288136,0.9883040935672516,1.0,1.0,0.9583333333333334,0.9652173913043478,0.967741935483871,1.0,0.9739583333333334,0.9888888888888888,1.0,0.9852941176470588,0.9924812030075189,1.0,0.9859154929577464
align-dinov2+500m-things+hyp-abl30cat-7,0.994106553512494,0.0,1.0,1.0,1.0,0.9935483870967742,1.0,1.0,1.0,1.0,0.9866666666666668,0.9964788732394366,0.9896907216494846,0.9767441860465116,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9833333333333332,1.0,1.0,1.0,1.0,0.9905660377358492,1.0,1.0,1.0,0.9859154929577464,1.0,1.0,1.0,1.0,1.0,0.9791666666666666,1.0,1.0,0.9785714285714284,0.9479166666666666,1.0,1.0,1.0,1.0,0.991150442477876,1.0,1.0,1.0,0.9803921568627452,0.9705882352941176,1.0,0.990909090909091
align-dinov2+1b-things+hyp-abl20cat-7,0.9901074053137364,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9333333333333332,1.0,0.9923076923076924,1.0,1.0,0.9883720930232558,1.0,0.9899497487437184,0.9932065217391304,1.0,0.99009900990099,0.9621212121212122,0.984126984126984,0.970873786407767,1.0,1.0,1.0,0.9859154929577464,0.972972972972973,1.0,1.0,1.0,0.9769230769230768,1.0,1.0,1.0,0.9946808510638298,0.9949494949494948,0.9588235294117649,1.0,1.0,0.9705882352941176,0.9915254237288136,0.9649122807017544,1.0,1.0,0.9861111111111112,0.982608695652174,0.967741935483871,1.0,0.9791666666666666,0.9777777777777776,1.0,0.9852941176470588,0.9849624060150376,1.0,0.9859154929577464
align-dinov2+1b-things+hyp-abl10-7,0.9824683348779736,0.0,1.0,0.9339622641509434,0.9428571428571428,0.9958847736625516,1.0,1.0,0.9664804469273744,0.9937106918238994,0.9731343283582088,0.9945054945054944,0.9951690821256038,0.9744680851063828,0.96,0.9955555555555556,0.9845788849347568,0.9823529411764704,0.9932432432432432,0.9948453608247424,0.9761273209549072,0.9743589743589745,0.9876543209876544,0.9902439024390244,0.9878048780487804,0.9820359281437124,0.994011976047904,1.0,0.9885057471264368,0.993212669683258,0.9772727272727272,0.9802955665024632,0.9779005524861878,0.9955156950672646,0.9957983193277312,0.9954337899543378,0.9653679653679652,0.9940828402366864,0.9863013698630136,0.976851851851852,0.9933774834437086,0.937956204379562,0.9481865284974094,1.0,0.9503105590062112,0.9863013698630136,0.987878787878788,0.976851851851852,0.975103734439834,0.983957219251337,0.9744897959183674,0.965174129353234,0.9887640449438202,1.0,0.9588607594936708
align-dinov2+1b-things+hyp-abl70-42,0.9795652173913044,0.0,1.0,0.9117647058823528,1.0,1.0,1.0,1.0,0.8888888888888888,1.0,0.9848484848484848,1.0,1.0,0.95,0.9482758620689656,0.9166666666666666,0.986013986013986,0.9333333333333332,1.0,0.9555555555555556,0.9818181818181818,1.0,0.9642857142857144,1.0,1.0,0.9705882352941176,1.0,1.0,1.0,0.99009900990099,1.0,0.9523809523809524,0.95,1.0,1.0,0.96875,1.0,1.0,1.0,0.9777777777777776,0.9545454545454546,0.9827586206896552,1.0,0.9629629629629628,0.9130434782608696,1.0,0.9166666666666666,0.9333333333333332,1.0,0.9705882352941176,0.9565217391304348,1.0,0.9523809523809524,1.0,0.9090909090909092
align-dinov2+500m-things+hyp-abl90-218,0.9720496894409938,0.0,0.8888888888888888,1.0,0.9230769230769232,1.0,1.0,1.0,1.0,0.9090909090909092,1.0,1.0,1.0,0.9230769230769232,1.0,1.0,0.967741935483871,1.0,0.875,0.9166666666666666,1.0,1.0,1.0,1.0,1.0,0.6,1.0,1.0,0.9,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9333333333333332,1.0,1.0,1.0,1.0,1.0,0.8,0.8333333333333334,1.0,1.0,1.0,0.8571428571428571,1.0,1.0,1.0,0.8636363636363636
align-dinov2+500m-things+hyp-abl30cat-218,0.9924563884959924,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.98,1.0,1.0,1.0,1.0,1.0,0.9736842105263158,1.0,1.0,1.0,0.972972972972973,1.0,1.0,0.9916666666666668,1.0,1.0,1.0,0.9852941176470588,0.9905660377358492,1.0,1.0,1.0,0.943661971830986,0.9875776397515528,1.0,1.0,0.9782608695652174,1.0,1.0,1.0,0.9859154929577464,0.9785714285714284,0.96875,1.0,0.9791666666666666,1.0,1.0,1.0,1.0,1.0,1.0,0.9803921568627452,1.0,0.9743589743589745,0.9454545454545454
align-dinov2+1b-things+hyp-abl20cat-42,0.989824759751272,0.0,0.9864864864864864,1.0,1.0,0.9894179894179894,1.0,0.99,0.961904761904762,1.0,0.9961538461538462,1.0,1.0,0.994186046511628,0.9875,0.984924623115578,0.9918478260869564,1.0,0.9702970297029704,0.9696969696969696,0.984126984126984,0.9902912621359224,1.0,1.0,1.0,1.0,0.972972972972973,0.9906542056074766,1.0,0.9943661971830986,0.9769230769230768,1.0,1.0,1.0,1.0,0.9949494949494948,0.9470588235294116,1.0,1.0,0.9779411764705882,0.9915254237288136,0.9766081871345028,1.0,1.0,1.0,0.9739130434782608,0.978494623655914,1.0,0.96875,0.9777777777777776,1.0,1.0,0.9849624060150376,1.0,0.971830985915493
align-dinov2+1b-things+hyp-abl90-42,0.984472049689441,0.0,1.0,1.0,0.9230769230769232,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.9333333333333332,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9333333333333332,1.0,1.0,1.0,1.0,1.0,1.0,0.8333333333333334,1.0,1.0,1.0,0.8571428571428571,1.0,1.0,1.0,0.8636363636363636
align-dinov2+1b-things+hyp-abl20cat-218,0.9903900508762012,0.0,1.0,0.9701492537313432,1.0,1.0,1.0,0.99,0.9714285714285714,1.0,0.9884615384615384,1.0,1.0,0.9825581395348836,1.0,0.984924623115578,0.9918478260869564,1.0,0.9702970297029704,0.9621212121212122,0.984126984126984,0.9902912621359224,0.9824561403508772,1.0,1.0,0.9859154929577464,0.972972972972973,1.0,1.0,1.0,0.9769230769230768,1.0,1.0,1.0,1.0,0.9949494949494948,0.9647058823529412,0.99,1.0,0.9779411764705882,1.0,0.9766081871345028,1.0,1.0,0.9861111111111112,0.9652173913043478,0.978494623655914,1.0,0.9791666666666666,0.9777777777777776,1.0,1.0,0.9849624060150376,1.0,1.0
align-dinov2+500m-things+hyp-abl20cat-7,0.9878462408140192,0.0,1.0,0.9850746268656716,1.0,0.9947089947089948,1.0,0.98,0.923809523809524,1.0,0.9884615384615384,0.9864864864864864,1.0,0.9825581395348836,0.9875,0.984924623115578,0.9877717391304348,1.0,1.0,0.9772727272727272,0.984126984126984,1.0,1.0,0.9933774834437086,1.0,0.9859154929577464,0.972972972972973,1.0,1.0,0.9971830985915492,0.9769230769230768,1.0,1.0,1.0,0.9893617021276596,0.98989898989899,0.9588235294117649,0.98,1.0,0.9779411764705882,0.9915254237288136,0.9824561403508772,1.0,0.9836065573770492,0.9861111111111112,0.982608695652174,0.967741935483871,1.0,0.9635416666666666,0.9444444444444444,0.9848484848484848,1.0,0.9849624060150376,1.0,1.0
align-dinov2+1b-things+hyp-abl30cat-7,0.9926921263554926,0.0,1.0,1.0,1.0,1.0,1.0,0.9777777777777776,1.0,1.0,0.98,0.9964788732394366,0.9948453608247424,1.0,1.0,1.0,0.9736842105263158,1.0,1.0,1.0,1.0,1.0,1.0,0.975,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9791666666666666,0.971830985915493,0.9937888198757764,1.0,1.0,1.0,1.0,0.9791666666666666,1.0,1.0,0.9714285714285714,0.9583333333333334,1.0,1.0,1.0,1.0,0.9646017699115044,1.0,1.0,1.0,0.9901960784313726,1.0,1.0,0.9727272727272728
align-dinov2+500m-things+hyp-abl50-218,0.9762107051826678,0.0,0.9918032786885246,0.9864864864864864,0.9315068493150684,0.982608695652174,1.0,1.0,0.9423076923076924,0.9807692307692308,0.9646017699115044,0.9883720930232558,0.9929577464788732,0.9759036144578314,0.961904761904762,0.9875,1.0,1.0,1.0,0.9891304347826086,0.9583333333333334,0.9863013698630136,1.0,0.9888888888888888,0.9859154929577464,0.9152542372881356,0.9767441860465116,1.0,0.9,0.9840425531914894,0.981132075471698,0.9493670886075948,0.9242424242424242,1.0,0.9891304347826086,1.0,0.9384615384615383,0.984375,1.0,0.9264705882352942,0.9838709677419356,0.9615384615384616,0.9577464788732394,1.0,0.9375,0.979591836734694,0.981132075471698,0.9494949494949496,0.9883720930232558,0.9701492537313432,0.9444444444444444,0.9710144927536232,0.9830508474576272,0.9893617021276596,0.9042553191489362
